date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:22	20847/20847	---M--	200	added ('OK')	image/jpeg	etag:W/%2220847-1466584875000%22	http://www.jungonenutri.com/upload/product/product_201606220541157591.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_201606220541157591.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=FRESH)
09:33:39	52126/52126	---M--	200	added ('OK')	image/jpeg	etag:W/%2252126-1453771715000%22	http://www.jungonenutri.com/upload/product/product_201601261028354971.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_201601261028354971.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:41	12022/12022	---M--	200	added ('OK')	image/jpeg	etag:W/%2212022-1447726194000%22	http://www.jungonenutri.com/upload/product/product_201511171109545511.JPG	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_201511171109545511.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:44	15022/15022	---M--	200	added ('OK')	image/jpeg	etag:W/%2215022-1423743999000%22	http://www.jungonenutri.com/upload/product/PRODUCT_350.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/PRODUCT_350.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:44	149330/149330	---M--	200	added ('OK')	image/png	etag:W/%22149330-1472110538000%22	http://www.jungonenutri.com/upload/product/product_201608250435386901.png	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_201608250435386901.png	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=FRESH)
09:33:45	145072/145072	---M--	200	added ('OK')	image/png	etag:W/%22145072-1472110458000%22	http://www.jungonenutri.com/upload/product/product_201608250434187491.png	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_201608250434187491.png	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=FRESH)
09:33:47	13530/13530	---M--	200	added ('OK')	image/jpeg	etag:W/%2213530-1423743999000%22	http://www.jungonenutri.com/upload/product/PRODUCT_345.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/PRODUCT_345.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:48	22328/22328	---M--	200	added ('OK')	image/jpeg	etag:W/%2222328-1425275222000%22	http://www.jungonenutri.com/upload/product/product_20150302024702168.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_20150302024702168.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:48	13355/13355	---M--	200	added ('OK')	image/jpeg	etag:W/%2213355-1423743999000%22	http://www.jungonenutri.com/upload/product/PRODUCT_344.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/PRODUCT_344.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:49	1259/1259	---M--	200	added ('OK')	image/gif	etag:W/%221259-1483677805000%22	http://www.jungonenutri.com/admin/images/btn/btn_exclude.gif	C:/My%20Web%20Sites/test2/www.jungonenutri.com/admin/images/btn/btn_exclude.gif	(from http://www.jungonenutri.com/user/mydiet/myDiet.do?dietCd=1340)
