date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:23	493468/493468	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202016%2008:33:21%20GMT	https://t1.daumcdn.net/localimg/localimages/07/mapapidoc/and_feature5_map.png	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/localimg/localimages/07/mapapidoc/and_feature5_map.png	(from https://apis.map.kakao.com/android/)
14:11:23	65119/65119	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202016%2008:33:18%20GMT	https://t1.daumcdn.net/localimg/localimages/07/mapapidoc/and_feature5_img.png	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/localimg/localimages/07/mapapidoc/and_feature5_img.png	(from https://apis.map.kakao.com/android/)
14:11:23	13411/13411	---M--	200	added ('OK')	text/html	etag:W/%223463-17e8bcd7160%22	https://apis.map.kakao.com/android/sample/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/android/sample/index.html	(from https://apis.map.kakao.com/android/)
14:11:25	52882/52882	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2011:13:07%20GMT	http://t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/css/web.min.css	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/css/web.min.css	(from https://apis.map.kakao.com/web/)
14:11:25	16375/16375	---M--	200	added ('OK')	text/html	etag:W/%223ff7-17e8bcd7160%22	https://apis.map.kakao.com/android/news/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/android/news/index.html	(from https://apis.map.kakao.com/android/)
14:11:25	175550/175550	---M--	200	added ('OK')	text/html	etag:W/%222adbe-17e8bcd7160%22	https://apis.map.kakao.com/android/documentation/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/android/documentation/index.html	(from https://apis.map.kakao.com/android/)
14:11:25	53/53	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20May%202022%2005:11:25%20GMT	https://apis.map.kakao.com/web/guide	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/web/guide.12.delayed	(from https://apis.map.kakao.com/web/)
14:11:25	55/55	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20May%202022%2005:11:25%20GMT	https://apis.map.kakao.com/web/sample	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/web/sample	(from https://apis.map.kakao.com/web/)
14:11:26	69/69	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20May%202022%2005:11:26%20GMT	https://apis.map.kakao.com/web/documentation	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/web/documentation	(from https://apis.map.kakao.com/web/)
14:11:26	32016/32016	---M--	200	added ('OK')	text/html	etag:W/%227d10-17e8bcd7160%22	https://apis.map.kakao.com/web/guide/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/web/guide/index.html	(from https://apis.map.kakao.com/web/)
14:11:26	55/55	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20May%202022%2005:11:26%20GMT	https://apis.map.kakao.com/web/wizard	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/web/wizard	(from https://apis.map.kakao.com/web/)
14:11:26	51/51	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20May%202022%2005:11:26%20GMT	https://apis.map.kakao.com/web/news	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/web/news	(from https://apis.map.kakao.com/web/)
14:11:26	4382/4382	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202016%2008:33:39%20GMT	https://t1.daumcdn.net/localimg/localimages/07/mapapidoc/marker_red.png	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/localimg/localimages/07/mapapidoc/marker_red.png	(from https://apis.map.kakao.com/web/)
14:11:26	24272/24272	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202016%2008:33:24%20GMT	https://t1.daumcdn.net/localimg/localimages/07/mapapidoc/big_circle2.png	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/localimg/localimages/07/mapapidoc/big_circle2.png	(from https://apis.map.kakao.com/web/)
