date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:57	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2031%20May%202022%2004:51:57%20GMT	http://developers.kakao.com/sdk/js/kakao.min.js	C:/My%20Web%20Sites/glim/developers.kakao.com/sdk/js/kakao.min.17.delayed	(from http://theglim.co.kr/)
13:51:57	268039/268039	---M--	200	added ('OK')	application/javascript	etag:%224420a431bf4bd41:0%22	http://theglim.co.kr/resource/front/js/jquery/jquery-3.2.1.js	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/js/jquery/jquery-3.2.1.js	(from http://theglim.co.kr/)
13:51:58	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%226eadf3948cc4ed8af038f9c8a71b48b0%22	http://connect.facebook.net/en_US/all.js	C:/My%20Web%20Sites/glim/connect.facebook.net/en_US/all.js	(from http://theglim.co.kr/)
13:52:06	263623/263623	---M--	200	added ('OK')	application/javascript	etag:%2235d0f231bf4bd41:0%22	http://theglim.co.kr/resource/front/js/swiper-4.3.5/js/swiper.js	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/js/swiper-4.3.5/js/swiper.js	(from http://theglim.co.kr/)
13:52:12	36236/36236	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:06%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=28	C:/My%20Web%20Sites/glim/theglim.co.kr/%ed%92%88%ea%b3%a0_01_thumbnail_0338fe.jpg	(from http://theglim.co.kr/)
13:52:16	113067/113067	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2003:46:44%20GMT	https://developers.kakao.com/sdk/js/kakao.min.js	C:/My%20Web%20Sites/glim/developers.kakao.com/sdk/js/kakao.min.js	(from http://theglim.co.kr/)
13:52:19	39249/39249	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:12%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=27	C:/My%20Web%20Sites/glim/theglim.co.kr/thumbnail25d3.jpg	(from http://theglim.co.kr/)
13:52:21	145861/145861	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:51:57%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=29	C:/My%20Web%20Sites/glim/theglim.co.kr/thumbnail188d.jpg	(from http://theglim.co.kr/)
13:52:30	55135/55135	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:20%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=24	C:/My%20Web%20Sites/glim/theglim.co.kr/shinhan_chatbot_moli_01_thumbnailbb98.jpg	(from http://theglim.co.kr/)
13:52:37	42828/42828	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:30%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=23	C:/My%20Web%20Sites/glim/theglim.co.kr/samsungSDS_chatbot_01_thumbnail6e19.jpg	(from http://theglim.co.kr/)
13:52:39	520714/520714	---M--	200	added ('OK')	application/javascript	etag:%22ae82a631bf4bd41:0%22	http://theglim.co.kr/resource/front/js/jquery/jquery-ui.js	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/js/jquery/jquery-ui.js	(from http://theglim.co.kr/)
13:52:39	129522/129522	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:18%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=25	C:/My%20Web%20Sites/glim/theglim.co.kr/EQL_store_01_thumbnailb1f5.jpg	(from http://theglim.co.kr/)
13:52:42	161270/161270	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:16%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=26	C:/My%20Web%20Sites/glim/theglim.co.kr/thumbnail_021a89.jpg	(from http://theglim.co.kr/)
13:52:44	41203/41203	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:37%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=22	C:/My%20Web%20Sites/glim/theglim.co.kr/006b06.jpg	(from http://theglim.co.kr/)
13:52:48	59417/59417	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:39%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=21	C:/My%20Web%20Sites/glim/theglim.co.kr/00e266.jpg	(from http://theglim.co.kr/)
13:52:50	48565/48565	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:42%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=19	C:/My%20Web%20Sites/glim/theglim.co.kr/Namyang_community_01_thumbnail6dfe.jpg	(from http://theglim.co.kr/)
13:52:53	53306/53306	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:44%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=17	C:/My%20Web%20Sites/glim/theglim.co.kr/Shinhan_chatbot_01_thumbnail8696.jpg	(from http://theglim.co.kr/)
13:52:54	21443/21443	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:50%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=9	C:/My%20Web%20Sites/glim/theglim.co.kr/kyoboeBook_01_thumbnailc6eb.jpg	(from http://theglim.co.kr/)
13:52:57	108127/108127	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:40%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=18	C:/My%20Web%20Sites/glim/theglim.co.kr/Namyang_community_01_thumbnail_055634.jpg	(from http://theglim.co.kr/)
13:52:58	56611/56611	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:49%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=12	C:/My%20Web%20Sites/glim/theglim.co.kr/RailPlus_01_thumbnailfc0d.jpg	(from http://theglim.co.kr/)
13:53:04	62429/62429	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:54%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=3	C:/My%20Web%20Sites/glim/theglim.co.kr/Cj_hello_01_thumbnail3702.jpg	(from http://theglim.co.kr/)
13:53:06	78734/78734	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:53%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=8	C:/My%20Web%20Sites/glim/theglim.co.kr/kt_blice_01_thumbnail31c1.jpg	(from http://theglim.co.kr/)
13:53:08	12877/12877	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:53:06%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=4	C:/My%20Web%20Sites/glim/theglim.co.kr/E-proposal_01_thumbnaild057.jpg	(from http://theglim.co.kr/)
13:53:08	23872/23872	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:53:04%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=16	C:/My%20Web%20Sites/glim/theglim.co.kr/%ec%97%90%ec%8a%a4%ec%9b%90%eb%a3%a9%ec%95%a4%ed%95%84_01_thumbnailc542.jpg	(from http://theglim.co.kr/)
13:53:18	124865/124865	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:52:57%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=7	C:/My%20Web%20Sites/glim/theglim.co.kr/koreanair_skyshop_01_thumbnaildd58.jpg	(from http://theglim.co.kr/)
13:53:19	64226/64226	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202022%2004:53:08%20GMT	http://theglim.co.kr/PortfolioThumImg?idx=13	C:/My%20Web%20Sites/glim/theglim.co.kr/skt_t_lens_01_thumbnail48ba.jpg	(from http://theglim.co.kr/)
